Window 252:  RMSE=0.4564  MAE=0.3505
Window 253:  RMSE=0.9689  MAE=0.7977
Window 254:  RMSE=0.5429  MAE=0.4248
Window 255:  RMSE=0.9227  MAE=0.8403
Window 256:  RMSE=0.5861  MAE=0.4328
Window 257:  RMSE=1.1176  MAE=0.8128
Window 258:  RMSE=2.7061  MAE=2.3462
Window 259:  RMSE=0.5975  MAE=0.4091
Window 260:  RMSE=0.6772  MAE=0.3625
Window 261:  RMSE=2.9763  MAE=2.0968
Window 262:  RMSE=0.3952  MAE=0.2345
Window 263:  RMSE=0.8487  MAE=0.6673
Window 264:  RMSE=1.3732  MAE=0.9325
Window 265:  RMSE=1.2499  MAE=0.7596
Window 266:  RMSE=1.1290  MAE=0.8877
Window 267:  RMSE=1.3749  MAE=0.8702
Window 268:  RMSE=0.5459  MAE=0.3606
Window 269:  RMSE=0.9799  MAE=0.7460
Window 270:  RMSE=1.7637  MAE=1.0738
Window 271:  RMSE=0.3271  MAE=0.2216
Window 272:  RMSE=0.3910  MAE=0.2495
Saved rolling_loss_lr_all_windows.png

====== Rolling Window 汇总 ======
窗口数 = 273
RMSE: mean=1.0580 ± 0.5936
 MAE: mean=0.7298 ± 0.4542
